Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D4.0mm_P2.00mm,2,4.7u,
"C10, C3, C4, C5, C7, C8",C0603,6,100n,
"C6, C9",C0603,2,10p,
"D1, D2",SOD123,2,1N5819HW,
IC1,TSSOP14,1,OPA4171,
"IC2, IC4",TSSOP8,2,TL072PW,
"IC3, IC5",SOT23-5,2,LM321MF,
"J1, J10, J11, J12, J2, J3, J4, J5, J6, J7, J8, J9",WQP_PJ_301M6,12,PJ301_THONKICONN6,
JP1,AVR_ICSP,1,M05X2PTH,
"LED1, LED2, LED3",LED3MM,3,WP937EGW,
R1,R0603,1,10M,
"R10, R14, R16, R17, R18, R20, R6, R7, R8, R9",R0603,10,100k,
"R11, R19, R3",R0603,3,1.0k,
"R12, R13, R2, R21, R4, R5",R0603,6,51,
R15,R0603,1,33k,
