Designator,Mid X,Mid Y,Rotation,Layer
C1,144.0461,-57.21985,0.0,top
C10,170.0,-64.75,90.0,top
C11,137.3784,-66.90355,0.0,top
C12,139.9189,-67.22135,180.0,top
C13,151.5835,-68.33265,0.0,top
C14,151.5835,-69.28485,0.0,top
C15,145.9511,-71.18995,270.0,top
C16,144.3636,-71.50765,270.0,top
C17,158.6512,-73.09475,0.0,top
C18,158.4924,-74.68235,0.0,top
C19,176.4311,-75.63485,180.0,top
C2,151.9837,-57.53695,180.0,top
C20,176.4311,-78.17485,180.0,top
C21,158.4924,-78.96835,0.0,top
C22,128.8061,-83.57235,180.0,top
C23,165.3185,-83.57235,180.0,top
C24,169.5,-89.0,90.0,top
C25,163.4136,-88.33485,0.0,top
C26,179.25,-112.0,270.0,top
C27,133.7275,-94.84365,0.0,top
C28,139.7599,-94.84375,180.0,top
C29,163.0,-99.05,90.0,top
C3,144.0462,-58.33105,0.0,top
C30,131.8223,-98.17735,180.0,top
C31,133.7275,-101.35225,0.0,top
C32,139.7598,-101.35235,180.0,top
C33,164.0486,-105.16235,270.0,top
C34,155.4761,-105.32115,270.0,top
C35,147.8561,-105.79735,180.0,top
C36,133.7273,-106.74985,0.0,top
C37,153.7299,-106.74985,180.0,top
C38,157.2223,-106.74985,0.0,top
C39,162.3024,-106.74985,180.0,top
C4,136.1084,-59.12485,180.0,top
C40,165.7949,-106.74985,0.0,top
C41,139.76,-106.74995,180.0,top
C42,146.7448,-109.29005,0.0,top
C43,131.8224,-109.92485,180.0,top
C44,124.0436,-106.75,180.0,top
C45,171.6686,-110.87735,180.0,top
C46,133.7273,-113.09995,0.0,top
C47,139.76,-113.09995,180.0,top
C48,164.0486,-115.32235,0.0,top
C49,155.4761,-115.95735,270.0,top
C5,131.1875,-62.45845,0.0,top
C50,124.75,-113.0,0.0,top
C51,123.0911,-130.56235,0.0,top
C52,134.8386,-130.56235,180.0,top
C53,147.8561,-130.56235,180.0,top
C54,160.8736,-130.56235,180.0,top
C55,173.8911,-130.56235,180.0,top
C56,124.3612,-62.45855,180.0,top
C6,157.381,-64.04605,180.0,top
C7,164.25,-56.0,270.0,top
C8,140.8712,-65.63345,90.0,top
C9,164.0,-64.7,270.0,top
D1,176.9,-80.75,0.0,top
D10,125.6311,-156.12115,270.0,top
D11,137.2198,-156.12115,270.0,top
D2,148.9677,-87.38215,0.0,top
D3,179.75,-97.75,0.0,top
D4,159.9211,-136.27735,270.0,top
D5,171.1923,-136.43615,270.0,top
D6,159.9211,-140.08735,270.0,top
D7,148.4911,-141.19865,270.0,top
D8,120.7098,-144.53235,180.0,top
D9,130.2349,-144.69115,0.0,top
IC1,147.221,-64.20485,270.0,top
IC10,147.0624,-112.94135,180.0,top
IC2,127.695,-65.64105,270.0,top
IC4,158.3336,-68.49115,90.0,top
IC5,163.4136,-92.19385,180.0,top
IC6,136.7436,-98.17735,270.0,top
IC7,136.7436,-109.92485,270.0,top
IC8,164.0486,-111.19475,0.0,top
IC9,155.4761,-111.19485,0.0,top
L1,179.9236,-76.85485,90.0,top
L2,172.75,-81.45,90.0,top
L3,162.9961,-86.42985,0.0,top
L4,180.15,-100.75,0.0,top
Q1,136.6934,-62.92985,90.0,top
R1,129.1236,-55.31485,90.0,top
R10,150.8725,-72.77725,0.0,top
R13,144.0463,-74.84105,0.0,top
R14,157.8574,-76.26975,90.0,top
R15,158.4923,-77.85735,180.0,top
R16,132.6161,-92.62115,180.0,top
R17,140.871,-92.62125,0.0,top
R18,133.7275,-93.73235,180.0,top
R19,139.7599,-93.73235,0.0,top
R2,167.8586,-56.90235,90.0,top
R20,132.1399,-94.36725,90.0,top
R21,141.3473,-94.36725,270.0,top
R25,141.3475,-101.82845,90.0,top
R26,132.14,-101.82865,90.0,top
R27,139.7599,-102.46345,0.0,top
R28,133.7275,-102.46355,180.0,top
R29,132.6162,-103.41605,180.0,top
R3,154.2061,-57.53715,180.0,top
R30,141.0297,-103.41615,0.0,top
R31,153.7299,-104.52735,180.0,top
R32,157.2224,-104.52735,0.0,top
R33,162.3024,-104.52735,180.0,top
R34,165.7948,-104.52735,0.0,top
R35,132.6161,-104.52745,180.0,top
R36,140.7124,-104.52745,0.0,top
R37,133.7274,-105.63855,180.0,top
R38,157.2223,-105.63855,180.0,top
R39,162.3024,-105.63855,0.0,top
R4,146.2686,-57.53725,180.0,top
R40,165.7948,-105.63855,180.0,top
R41,139.7598,-105.63865,0.0,top
R42,153.7298,-105.63865,0.0,top
R43,141.3473,-106.27345,270.0,top
R44,132.1398,-106.27395,270.0,top
R45,158.9686,-108.81355,270.0,top
R46,146.7449,-110.55975,180.0,top
R47,151.9836,-113.09985,270.0,top
R48,160.5561,-113.09985,270.0,top
R49,167.5411,-113.09985,270.0,top
R5,148.8085,-57.53725,180.0,top
R50,141.3472,-113.57605,270.0,top
R51,132.1396,-113.57625,270.0,top
R52,133.7273,-114.21115,180.0,top
R53,139.76,-114.21125,0.0,top
R54,139.6013,-115.32235,180.0,top
R55,133.8861,-115.32255,0.0,top
R6,129.1236,-57.53735,270.0,top
R61,137.0611,-134.37235,0.0,top
R62,134.8387,-145.80235,0.0,top
R63,134.8387,-146.91345,0.0,top
R64,137.3786,-148.65975,270.0,top
R65,148.8086,-148.65985,270.0,top
R66,160.2386,-148.65985,270.0,top
R67,171.6686,-148.65985,270.0,top
R7,167.8586,-59.12485,270.0,top
R8,140.871,-63.09345,180.0,top
R9,140.8709,-64.04615,180.0,top
